Tijd (s),Spanning (V)
-0.007000001,0.02
-0.006990001,-0.016
-0.006980001,0.02
-0.006970001,-0.016
-0.0069600009999999995,-0.012
-0.006950001,0.02
-0.0069400009999999995,-0.008
-0.006930001,0.016
-0.006920000999999999,-0.016
-0.006910001,0.016
-0.006900000999999999,0.02
-0.006890001,-0.012
-0.006880000999999999,-0.012
-0.006870001,0.016
-0.006860000999999999,-0.02
-0.006850001,0.024
-0.006840000999999999,0.024
-0.006830001,-0.012
-0.006820001,0.008
-0.0068100009999999996,-0.012
-0.006800001,-0.008
-0.0067900009999999995,0.02
-0.006780001,-0.012
-0.0067700009999999994,0.016
-0.006760001,-0.012
-0.006750000999999999,0.016
-0.006740001,-0.012
-0.006730000999999999,0.024
-0.006720001,0.02
-0.006710000999999999,-0.008
-0.006700001,0.008
-0.006690000999999999,-0.016
-0.006680001,-0.016
-0.006670000999999999,0.012
-0.006660001,0.016
-0.006650000999999999,-0.024
-0.0066400009999999995,-0.012
-0.006630001,0.024
-0.0066200009999999995,0.028
-0.006610001,0.004
-0.0066000009999999994,-0.004
-0.006590001,0.028
-0.006580000999999999,-0.012
-0.006570001,0.02
-0.006560000999999999,0.004
-0.006550001,0.032
-0.006540000999999999,0.032
-0.006530001,0.0
-0.006520000999999999,0.016
-0.006510001,-0.012
-0.006500001,-0.02
-0.006490001,0.024
-0.006480000999999999,0.02
-0.0064700009999999995,-0.004
-0.006460001,-0.008
-0.0064500009999999995,0.016
-0.006440001,-0.004
-0.006430000999999999,0.012
-0.006420001,-0.012
-0.006410000999999999,0.008
-0.006400001,0.016
-0.006390000999999999,-0.016
-0.006380001,0.016
-0.006370000999999999,-0.012
-0.006360001,-0.012
-0.006350000999999999,0.012
-0.006340001,0.016
-0.006330001,-0.016
-0.006320001,-0.008
-0.006310000999999999,0.012
-0.0063000009999999995,0.012
-0.006290001,-0.02
-0.0062800009999999995,-0.02
-0.006270001,0.016
-0.006260000999999999,-0.02
-0.006250001,0.012
-0.006240000999999999,0.024
-0.006230001,-0.02
-0.006220000999999999,-0.004
-0.006210001,0.016
-0.006200000999999999,0.012
-0.006190001,-0.012
-0.006180000999999999,-0.016
-0.006170001,0.016
-0.006160001,0.02
-0.0061500009999999996,0.0
-0.006140000999999999,0.016
-0.0061300009999999995,-0.016
-0.006120001,-0.012
-0.0061100009999999995,0.016
-0.006100001,-0.004
-0.006090000999999999,0.024
-0.006080001,0.024
-0.006070000999999999,-0.008
-0.006060001,0.004
-0.006050000999999999,-0.016
-0.006040001,-0.008
-0.006030000999999999,0.016
-0.006020001,0.012
-0.006010000999999999,-0.012
-0.006000001,0.016
-0.005990001,-0.012
-0.0059800009999999995,0.016
-0.005970000999999999,-0.016
-0.0059600009999999995,0.016
-0.005950001,-0.012
-0.0059400009999999994,0.024
-0.005930001,-0.012
-0.005920000999999999,0.02
-0.005910001,-0.004
-0.005900000999999999,0.016
-0.005890001,-0.008
-0.005880000999999999,-0.004
-0.005870001,0.024
-0.005860000999999999,-0.008
-0.005850001,0.016
-0.005840000999999999,0.012
-0.005830001,-0.012
-0.005820001,-0.012
-0.0058100009999999995,0.016
-0.005800000999999999,0.016
-0.0057900009999999995,-0.02
-0.005780001,-0.008
-0.005770000999999999,0.02
-0.005760001,0.016
-0.005750000999999999,-0.004
-0.005740001,-0.016
-0.005730000999999999,0.016
-0.005720001,0.012
-0.005710000999999999,-0.012
-0.005700001,-0.024
-0.005690000999999999,0.012
-0.005680001,-0.008
-0.005670000999999999,0.02
-0.005660001,-0.016
-0.005650001,0.02
-0.0056400009999999995,0.016
-0.005630000999999999,-0.016
-0.0056200009999999995,0.012
-0.005610001,-0.02
-0.005600000999999999,-0.012
-0.005590001,0.02
-0.005580000999999999,0.016
-0.005570001,-0.008
-0.005560000999999999,0.024
-0.005550001,-0.012
-0.005540000999999999,0.012
-0.005530001,-0.016
-0.005520000999999999,-0.02
-0.005510001,0.02
-0.005500000999999999,-0.008
-0.0054900009999999996,0.028
-0.005480001,0.028
-0.0054700009999999995,-0.012
-0.005460000999999999,-0.016
-0.0054500009999999995,0.02
-0.005440001,-0.016
-0.005430000999999999,0.012
-0.005420001,-0.012
-0.005410000999999999,0.016
-0.005400001,-0.012
-0.005390000999999999,0.016
-0.005380001,-0.012
-0.005370000999999999,0.016
-0.005360001,0.02
-0.005350000999999999,-0.004
-0.005340001,0.024
-0.005330000999999999,-0.012
-0.0053200009999999995,-0.004
-0.005310001,0.012
-0.0053000009999999995,0.02
-0.005290000999999999,-0.024
-0.0052800009999999994,-0.024
-0.005270001,0.024
-0.005260000999999999,0.028
-0.005250001,-0.008
-0.005240000999999999,-0.008
-0.005230001,0.016
-0.005220000999999999,-0.008
-0.005210001,0.024
-0.005200000999999999,-0.008
-0.005190001,0.008
-0.005180000999999999,0.012
-0.005170001,-0.016
-0.005160000999999999,-0.008
-0.0051500009999999995,0.028
-0.005140001,0.02
-0.0051300009999999995,-0.008
-0.005120000999999999,0.012
-0.005110000999999999,-0.012
-0.005100001,0.02
-0.005090000999999999,-0.02
-0.005080000999999999,-0.012
-0.005070000999999999,0.016
-0.005060001,0.024
-0.005050000999999999,-0.012
-0.005040000999999999,-0.02
-0.005030000999999999,0.016
-0.005020001,-0.008
-0.005010001,0.028
-0.005000001,0.012
-0.004990000999999999,-0.004
-0.0049800009999999995,-0.012
-0.004970001,0.012
-0.0049600009999999995,-0.012
-0.004950000999999999,0.016
-0.004940000999999999,-0.008
-0.004930001,0.024
-0.004920000999999999,0.02
-0.004910000999999999,-0.012
-0.004900000999999999,0.004
-0.004890001,-0.016
-0.004880000999999999,-0.012
-0.004870000999999999,0.012
-0.004860000999999999,0.012
-0.004850001,-0.012
-0.004840001,-0.02
-0.0048300009999999996,0.016
-0.004820000999999999,0.012
-0.0048100009999999995,-0.02
-0.004800001,-0.016
-0.0047900009999999995,0.008
-0.004780000999999999,-0.016
-0.004770000999999999,0.02
-0.004760001,0.02
-0.004750000999999999,-0.016
-0.004740000999999999,-0.004
-0.004730000999999999,0.024
-0.004720001,-0.008
-0.004710000999999999,0.016
-0.004700000999999999,0.012
-0.004690000999999999,-0.016
-0.004680001,0.016
-0.004670001,-0.008
-0.0046600009999999996,-0.008
-0.004650000999999999,0.024
-0.0046400009999999995,0.016
-0.004630001,-0.016
-0.0046200009999999994,-0.008
-0.004610000999999999,0.02
-0.004600000999999999,0.024
-0.004590001,-0.004
-0.004580000999999999,0.016
-0.004570000999999999,-0.016
-0.004560000999999999,-0.008
-0.004550001,0.016
-0.004540000999999999,-0.016
-0.004530000999999999,0.02
-0.004520000999999999,0.024
-0.004510001,-0.012
-0.004500001,-0.008
-0.0044900009999999995,0.016
-0.004480000999999999,0.0
-0.0044700009999999995,0.024
-0.004460001,0.024
-0.0044500009999999994,-0.012
-0.004440000999999999,0.02
-0.004430000999999999,-0.012
-0.004420001,0.02
-0.004410000999999999,-0.012
-0.004400000999999999,0.016
-0.004390000999999999,-0.016
-0.004380001,0.024
-0.004370000999999999,-0.02
-0.004360000999999999,0.008
-0.004350000999999999,-0.016
-0.004340001,0.008
-0.004330001,-0.02
-0.0043200009999999995,-0.016
-0.004310000999999999,0.016
-0.0043000009999999995,-0.012
-0.004290001,0.016
-0.004280000999999999,0.016
-0.004270000999999999,-0.008
-0.004260000999999999,-0.004
-0.004250001,0.016
-0.004240000999999999,0.0
-0.004230000999999999,0.02
-0.004220000999999999,0.02
-0.004210001,-0.02
-0.004200000999999999,-0.02
-0.004190000999999999,0.02
-0.004180000999999999,-0.008
-0.004170001,0.016
-0.004160001,0.016
-0.0041500009999999995,0.0
-0.004140000999999999,0.02
-0.0041300009999999995,-0.004
-0.004120001,0.02
-0.004110000999999999,-0.016
-0.004100000999999999,-0.024
-0.004090000999999999,0.012
-0.004080001,0.012
-0.004070000999999999,-0.02
-0.004060000999999999,-0.012
-0.004050000999999999,0.012
-0.004040001,0.012
-0.004030000999999999,-0.016
-0.004020000999999999,-0.008
-0.004010000999999999,0.024
-0.0040000009999999996,0.024
-0.003990001,-0.016
-0.0039800009999999995,-0.016
-0.003970000999999999,0.016
-0.0039600009999999995,0.016
-0.003950001,-0.004
-0.003940000999999999,-0.004
-0.003930000999999999,0.016
-0.003920000999999999,-0.012
-0.003910001,0.02
-0.0039000009999999993,-0.012
-0.0038900009999999993,0.012
-0.0038800009999999992,-0.016
-0.003870000999999999,0.012
-0.003860000999999999,-0.02
-0.003850000999999999,0.012
-0.0038400009999999996,0.024
-0.0038300009999999995,-0.004
-0.0038200009999999995,-0.004
-0.0038100009999999995,0.02
-0.0038000009999999995,-0.008
-0.0037900009999999994,0.024
-0.0037800009999999994,0.02
-0.0037700009999999994,-0.004
-0.0037600009999999994,-0.016
-0.0037500009999999993,0.012
-0.0037400009999999993,-0.008
-0.0037300009999999993,0.012
-0.0037200009999999993,-0.02
-0.0037100009999999992,0.012
-0.003700000999999999,-0.016
-0.003690000999999999,0.008
-0.003680000999999999,0.008
-0.0036700009999999996,-0.024
-0.0036600009999999995,-0.016
-0.0036500009999999995,0.016
-0.0036400009999999995,-0.012
-0.0036300009999999995,0.032
-0.0036200009999999994,-0.012
-0.0036100009999999994,0.024
-0.0036000009999999994,0.028
-0.0035900009999999993,-0.004
-0.0035800009999999993,-0.004
-0.0035700009999999993,0.016
-0.0035600009999999993,-0.004
-0.0035500009999999992,0.024
-0.0035400009999999992,-0.012
-0.003530000999999999,0.024
-0.003520000999999999,0.0
-0.003510000999999999,0.024
-0.0035000009999999995,0.016
-0.0034900009999999995,-0.008
-0.0034800009999999995,0.016
-0.0034700009999999995,-0.012
-0.0034600009999999994,0.032
-0.0034500009999999994,-0.004
-0.0034400009999999994,0.024
-0.0034300009999999994,-0.012
-0.0034200009999999993,0.012
-0.0034100009999999993,-0.016
-0.0034000009999999993,-0.016
-0.0033900009999999993,0.008
-0.0033800009999999992,-0.02
-0.003370000999999999,0.012
-0.003360000999999999,-0.02
-0.003350000999999999,0.012
-0.003340000999999999,-0.016
-0.0033300009999999995,0.016
-0.0033200009999999995,0.016
-0.0033100009999999995,-0.012
-0.0033000009999999995,0.02
-0.0032900009999999994,-0.012
-0.0032800009999999994,-0.004
-0.0032700009999999994,0.016
-0.0032600009999999994,0.016
-0.0032500009999999993,-0.02
-0.0032400009999999993,-0.012
-0.0032300009999999993,0.016
-0.0032200009999999992,-0.004
-0.0032100009999999992,0.024
-0.003200000999999999,-0.016
-0.003190000999999999,0.008
-0.003180000999999999,-0.004
-0.003170000999999999,0.02
-0.003160000999999999,0.016
-0.0031500009999999995,-0.016
-0.0031400009999999995,-0.012
-0.0031300009999999994,0.02
-0.0031200009999999994,0.02
-0.0031100009999999994,-0.012
-0.0031000009999999994,0.02
-0.0030900009999999993,-0.012
-0.003080000999999999,-0.016
-0.0030700009999999993,0.02
-0.0030600009999999997,0.02
-0.0030500009999999992,-0.008
-0.0030400009999999996,-0.004
-0.003030000999999999,0.024
-0.0030200009999999996,0.016
-0.003010000999999999,-0.02
-0.0030000009999999995,0.0
-0.002990000999999999,0.024
-0.0029800009999999995,0.02
-0.002970000999999999,-0.008
-0.0029600009999999994,-0.016
-0.002950000999999999,0.008
-0.0029400009999999994,0.012
-0.002930000999999999,-0.012
-0.0029200009999999993,-0.024
-0.002910000999999999,0.016
-0.0029000009999999993,-0.004
-0.0028900009999999997,0.02
-0.0028800009999999992,0.0
-0.0028700009999999996,0.028
-0.002860000999999999,0.024
-0.0028500009999999996,-0.004
-0.002840000999999999,0.016
-0.0028300009999999995,-0.008
-0.002820000999999999,0.02
-0.0028100009999999995,-0.012
-0.002800000999999999,-0.012
-0.0027900009999999994,0.016
-0.002780000999999999,0.008
-0.0027700009999999994,-0.02
-0.002760000999999999,-0.02
-0.0027500009999999993,0.004
-0.002740000999999999,-0.012
-0.0027300009999999993,0.012
-0.0027200009999999997,-0.012
-0.002710000999999999,0.024
-0.0027000009999999996,-0.008
-0.002690000999999999,0.02
-0.0026800009999999996,0.02
-0.002670000999999999,-0.008
-0.0026600009999999995,0.02
-0.002650000999999999,-0.016
-0.0026400009999999995,0.016
-0.002630000999999999,-0.004
-0.0026200009999999994,-0.012
-0.002610000999999999,0.016
-0.0026000009999999994,0.016
-0.002590000999999999,-0.008
-0.0025800009999999993,-0.02
-0.002570000999999999,0.012
-0.0025600009999999992,-0.016
-0.0025500009999999997,0.012
-0.002540000999999999,-0.016
-0.0025300009999999996,0.012
-0.002520000999999999,-0.012
-0.0025100009999999996,0.024
-0.002500000999999999,0.02
-0.0024900009999999995,-0.004
-0.002480000999999999,-0.008
-0.0024700009999999994,0.02
-0.002460000999999999,0.02
-0.0024500009999999994,0.0
-0.002440000999999999,-0.008
-0.0024300009999999993,0.032
-0.002420000999999999,0.02
-0.0024100009999999993,-0.016
-0.002400000999999999,-0.02
-0.0023900009999999992,0.012
-0.0023800009999999996,-0.032
-0.002370000999999999,0.004
-0.0023600009999999996,-0.02
-0.002350000999999999,0.008
-0.0023400009999999995,-0.004
-0.002330000999999999,0.032
-0.0023200009999999995,0.032
-0.002310000999999999,-0.008
-0.0023000009999999994,0.024
-0.002290000999999999,-0.02
-0.0022800009999999994,-0.012
-0.002270000999999999,0.016
-0.0022600009999999993,-0.02
-0.002250000999999999,0.016
-0.0022400009999999993,0.016
-0.002230000999999999,-0.012
-0.0022200009999999992,-0.004
-0.0022100009999999996,0.02
-0.002200000999999999,0.0
-0.0021900009999999996,0.024
-0.002180000999999999,0.02
-0.0021700009999999995,-0.02
-0.002160000999999999,-0.016
-0.0021500009999999995,0.004
-0.002140000999999999,-0.012
-0.0021300009999999994,0.016
-0.002120000999999999,-0.02
-0.0021100009999999994,0.012
-0.002100000999999999,-0.016
-0.0020900009999999993,0.012
-0.002080000999999999,0.008
-0.0020700009999999993,-0.02
-0.002060000999999999,-0.016
-0.002050000999999999,0.02
-0.0020400009999999996,-0.016
-0.002030000999999999,0.028
-0.0020200009999999996,-0.004
-0.002010000999999999,0.028
-0.0020000009999999995,0.036
-0.001990000999999999,-0.004
-0.0019800009999999995,0.016
-0.001970000999999999,-0.004
-0.0019600009999999994,-0.008
-0.001950000999999999,0.02
-0.0019400009999999994,0.008
-0.001930000999999999,-0.016
-0.0019200009999999993,-0.02
-0.0019100009999999988,0.004
-0.0019000009999999993,-0.02
-0.0018900009999999988,0.016
-0.0018800009999999992,0.02
-0.0018700009999999996,-0.012
-0.0018600009999999991,-0.02
-0.0018500009999999996,0.016
-0.001840000999999999,0.02
-0.0018300009999999995,-0.016
-0.001820000999999999,-0.016
-0.0018100009999999995,0.02
-0.001800000999999999,0.012
-0.0017900009999999994,-0.012
-0.001780000999999999,0.0
-0.0017700009999999993,0.024
-0.0017600009999999989,0.02
-0.0017500009999999993,-0.008
-0.0017400009999999988,0.012
-0.0017300009999999992,-0.016
-0.0017200009999999988,-0.008
-0.0017100009999999992,0.016
-0.0017000009999999996,0.028
-0.0016900009999999991,-0.004
-0.0016800009999999995,0.02
-0.001670000999999999,-0.008
-0.0016600009999999995,0.016
-0.001650000999999999,-0.016
-0.0016400009999999994,-0.008
-0.001630000999999999,0.02
-0.0016200009999999994,0.016
-0.001610000999999999,-0.012
-0.0016000009999999993,0.024
-0.0015900009999999989,-0.004
-0.0015800009999999993,0.02
-0.0015700009999999988,-0.028
-0.0015600009999999992,-0.024
-0.0015500009999999988,0.016
-0.0015400009999999992,-0.012
-0.0015300009999999996,0.02
-0.0015200009999999991,-0.012
-0.0015100009999999995,0.012
-0.001500000999999999,0.016
-0.0014900009999999995,-0.008
-0.001480000999999999,0.016
-0.0014700009999999994,-0.004
-0.001460000999999999,0.016
-0.0014500009999999994,-0.004
-0.001440000999999999,0.024
-0.0014300009999999993,-0.008
-0.0014200009999999989,-0.016
-0.0014100009999999993,0.008
-0.0014000009999999988,-0.016
-0.0013900009999999992,0.012
-0.0013800009999999988,0.012
-0.0013700009999999992,-0.02
-0.0013600009999999996,0.016
-0.0013500009999999991,-0.02
-0.0013400009999999995,-0.016
-0.001330000999999999,0.02
-0.0013200009999999995,0.024
-0.001310000999999999,-0.008
-0.0013000009999999994,0.016
-0.001290000999999999,-0.012
-0.0012800009999999994,-0.008
-0.001270000999999999,0.028
-0.0012600009999999993,0.004
-0.0012500009999999988,0.024
-0.0012400009999999993,0.016
-0.0012300009999999988,-0.012
-0.0012200009999999992,0.012
-0.0012100009999999987,-0.02
-0.0012000009999999992,0.02
-0.0011900009999999996,-0.004
-0.001180000999999999,0.024
-0.0011700009999999995,-0.008
-0.001160000999999999,0.012
-0.0011500009999999995,-0.028
-0.001140000999999999,-0.02
-0.0011300009999999994,0.004
-0.001120000999999999,-0.016
-0.0011100009999999993,0.016
-0.0011000009999999989,0.028
-0.0010900009999999993,-0.008
-0.0010800009999999988,-0.004
-0.0010700009999999992,0.016
-0.0010600009999999988,-0.004
-0.0010500009999999992,0.02
-0.0010400009999999987,0.02
-0.0010300009999999991,-0.004
-0.0010200009999999995,0.028
-0.001010000999999999,-0.012
-0.0010000009999999995,-0.016
-0.000990000999999999,0.012
-0.0009800009999999994,-0.02
-0.000970000999999999,0.012
-0.0009600009999999994,0.016
-0.0009500009999999989,-0.008
-0.0009400009999999993,0.012
-0.0009300009999999989,-0.02
-0.0009200009999999993,0.016
-0.0009100009999999988,-0.024
-0.0009000009999999992,0.004
-0.0008900009999999988,-0.032
-0.0008800009999999992,-0.016
-0.0008700009999999987,0.016
-0.0008600009999999991,-0.016
-0.0008500009999999995,0.02
-0.0008400009999999991,0.012
-0.0008300009999999995,-0.012
-0.000820000999999999,-0.016
-0.0008100009999999994,0.016
-0.000800000999999999,0.02
-0.0007900009999999994,-0.02
-0.0007800009999999989,-0.012
-0.0007700009999999993,0.028
-0.0007600009999999989,-0.012
-0.0007500009999999993,0.016
-0.0007400009999999988,0.024
-0.0007300009999999992,-0.008
-0.0007200009999999988,0.012
-0.0007100009999999992,-0.016
-0.0007000009999999987,-0.008
-0.0006900009999999991,0.016
-0.0006800009999999995,-0.016
-0.0006700009999999991,0.012
-0.0006600009999999995,-0.012
